first_name_x,last_name_x,npi_x,street,street_2,city,state,zip,lat,lon,first_name_y,last_name_y,npi_y,_merge
deborah,jolie,72248738248131276601,2744 kirsten plaza,suite 148,zionburgh,tx,80760,59.431041505761954,142.33677657103948,deborah,jolie,72248738248131276601,both
marjory,harley,85666817362462284195,3238 freeman trail,suite 472,schustermouth,hi,66696,16.263573807407937,129.6366384464663,marjory,harley,85666817362462284195,both
zita,yasmin,57219924682871422273,2521 runolfsdottir station,apt 283,east annetteville,md,62342,-87.54188440097968,5.812191905850568,zita,yasmin,57219924682871422273,both
victoria,kaleb,,79341 destin springs,apt 561,port norbertohaven,la,74019,-5.9719782588561685,157.7276512899797,victoria,kaleb,36114842523869013427,both
pascale,ryder,75137145868784228122,,,,,,,,,,,left_only
nella,sheridan,63158792827720528132,4326 nitzsche plaza,apt 445,west luther,nh,31477,13.635211268926753,18.421036952011093,nella,sheridan,63158792827720528132,both
albin,yvette,60813239314886505555,81997 doug greens,apt 932,north jayneland,co,41247,,,,,,left_only
eden,maximillian,66677748434428271659,5148 deshaun meadow,suite 674,aylatown,vt,27166,35.525539945739354,12.586231571374327,eden,maximillian,66677748434428271659,both
erling,ellsworth,,72949 wyman valley,suite 721,shanahanton,mn,41462,-87.43227146325152,165.57051180896661,erling,ellsworth,32879230815626627623,both
marguerite,johnathan,72647478424316582314,40437 elissa walks,suite 289,south mylenebury,mn,18861,70.97494473527374,52.84233833584284,marguerite,johnathan,72647478424316582314,both
millie,amani,53407188811357432743,,,,,,,,,,,left_only
cordell,delilah,63341530432779774187,877 joel landing,apt 119,leannonton,tx,80531,67.61508896993672,-58.70744573718571,cordell,delilah,63341530432779774187,both
floyd,toney,,133 kris corners,apt 662,lake deon,ut,53630,53.37270992451789,32.03898190840144,floyd,toney,91949596840495381017,both
julio,ervin,37617227435263241609,850 gilberto ranch,apt 720,hauckhaven,ut,16619,74.02839248126236,60.69906177057871,julio,ervin,37617227435263241609,both
bonnie,jocelyn,14388543317747444652,79667 ceasar garden,apt 622,carmelfurt,wy,12154,61.2875063489671,-68.2945664156822,bonnie,jocelyn,14388543317747444652,both
elvis,lenna,14455777372842761255,,,,,,,,,,,left_only
sunny,cletus,10145521552746230765,46220 aniyah road,suite 610,justonview,de,34813,,,,,,left_only
destiney,wilson,,191 jacobs mill,apt 525,port sallie,oh,23631,-50.97901038657312,-79.03255916689368,destiney,wilson,08844081569434332443,both
freddy,sally,38054671934598967067,649 arvid spring,apt 556,annabellbury,oh,14846,-61.32042067783425,-141.0449005116506,freddy,sally,38054671934598967067,both
sincere,tyree,25045835161649311226,77158 pietro knoll,suite 859,pacochaville,ut,21029,43.62050774081038,106.12882696874078,sincere,tyree,25045835161649311226,both
dylan,shanna,11536413225685215221,976 steuber river,apt 277,south alexandrineborough,oh,23124,-68.33501619552905,-3.7079795041314014,dylan,shanna,11536413225685215221,both
mario,richard,,,,,,,,,,,,left_only
camylle,haven,86449066566138275081,86962 alicia vista,apt 940,east alexa,ne,50237,-61.8123233016683,141.60164935754494,camylle,haven,86449066566138275081,both
aniya,winona,22458821718494920822,380 koch plain,apt 566,lake reaganland,ar,26415,-34.4357243305887,-115.57053402577449,aniya,winona,22458821718494920822,both
sallie,laury,42861514701526485171,72266 stehr extensions,apt 838,south johnathanborough,tn,85550,60.85980854673343,64.65826012363783,sallie,laury,42861514701526485171,both
edgar,deven,,5645 earlene coves,apt 744,muhammadberg,wi,50548,-65.38102717055708,101.34449287429027,edgar,deven,55715681416351177349,both
estell,harvey,34268632282866767982,,,,,,,,,,,left_only
marguerite,micheal,31831710611036713100,4166 witting walk,suite 191,bechtelarshire,wa,34177,,,,,,left_only
celestine,gino,89301843886312857436,7051 kenyon harbor,apt 220,cummeratabury,hi,92822,2.990033181806922,48.822644471673044,celestine,gino,89301843886312857436,both
arjun,toy,28461179283256435803,814 mable oval,suite 993,efrainchester,tx,44083,69.65999693439676,0.7569942566792918,arjun,toy,28461179283256435803,both
dewitt,madisen,,7453 kuhn flat,apt 932,klingville,nh,35939,24.749665449813875,15.210037963306547,dewitt,madisen,41211510995852842574,both
elian,carson,93874937325431230774,834 mayert radial,suite 298,lake jasperfort,ar,23508,13.974640960799718,-34.43503241131353,elian,carson,93874937325431230774,both
colin,tyson,85641555627354036243,,,,,,,,,,,left_only
pearl,bette,46052455054442131062,7505 gillian creek,apt 677,lincolnville,mt,83977,-5.294221350576663,109.1238307676856,pearl,bette,46052455054442131062,both
kenneth,tracy,,323 boyle roads,suite 504,lake zechariahburgh,or,73432,-47.8612858416344,131.6722496335119,kenneth,tracy,89517643864639883494,both
maximillia,trystan,81617766618858772353,17672 reilly lakes,suite 282,west gunnermouth,nv,51473,,,,,,left_only
ressie,rodolfo,57433838586295207769,5952 hammes mission,apt 789,blanchetown,ne,26332,-28.137432139808453,-15.519314300595852,ressie,rodolfo,57433838586295207769,both
emiliano,noemy,42810376138145286113,8122 jaycee meadow,suite 311,new orpha,hi,14266,86.4118996882332,70.13469527647351,emiliano,noemy,42810376138145286113,both
janelle,alda,70751252862153222461,,,,,,,,,,,left_only
koby,kaley,,188 wilfredo lights,apt 776,runolfsdottirton,sc,76728,-37.429516359841486,-0.7535787774122582,koby,kaley,13216232982735434837,both
camilla,maximilian,93946868026743742177,1485 hyatt lake,suite 588,evangelinemouth,nc,90536,-69.58760913158008,-174.06046836060284,camilla,maximilian,93946868026743742177,both
helga,sid,59008745426727683945,1768 quitzon track,apt 545,aleenmouth,oh,77448,-27.241533163088363,117.60585521552014,helga,sid,59008745426727683945,both
rosalyn,noe,73968382725135135079,321 will road,apt 506,new korey,fl,32037,,,,,,left_only
arielle,sophie,13138874118233603261,229 freddy ports,apt 468,erdmanborough,ne,99314,21.183977515239263,164.2872875241069,arielle,sophie,13138874118233603261,both
nichole,veda,,,,,,,,,,,,left_only
tyra,porter,34881481881152277357,1934 rigoberto green,suite 904,lake emeryshire,nc,75060,41.40407947474375,-59.783429314468094,tyra,porter,34881481881152277357,both
melany,rossie,11543825562949985151,536 haag walks,suite 669,winfieldshire,wi,74535,-85.2562218391045,73.17952354736087,melany,rossie,11543825562949985151,both
brendon,forest,10887511755878658131,7669 funk point,apt 650,gislasonburgh,ks,83773,-38.66326585479171,-125.86080905247381,brendon,forest,10887511755878658131,both
lily,wilburn,,43274 scottie bypass,apt 532,prosaccoville,nm,95544,-81.94203047924522,139.4065962633842,lily,wilburn,79118653839272284648,both
selmer,tatyana,62166944226746504643,,,,,,,,,,,left_only
jerrod,lacey,44964322367575746602,86323 helmer radial,apt 246,vandervorthaven,nc,75039,68.71957596156778,134.92911551029061,jerrod,lacey,44964322367575746602,both
hulda,lawson,38449154176132993703,271 thad lakes,apt 643,harveyburgh,nm,37786,20.312925275171622,-97.35163215298627,hulda,lawson,38449154176132993703,both
bonnie,joelle,36237478334796567217,66324 trantow crest,apt 122,adalinetown,az,38417,,,,,,left_only
mario,amya,,1733 jacobs mountain,suite 326,antoneview,nc,44829,-22.659985911914248,-24.33405962941694,mario,amya,41950844815417364144,both
mathew,roel,23489991212293338257,55779 mckenzie centers,suite 303,south orin,id,39255,20.925590973677473,104.21634206407253,mathew,roel,23489991212293338257,both
percival,kennith,96816844467518308169,,,,,,,,,,,left_only
marcelino,german,44986213838576968762,408 naomi parks,apt 405,port gardner,ne,23069,-78.33072837722307,-42.371863512447476,marcelino,german,44986213838576968762,both
louvenia,twila,,5495 jakubowski fort,apt 184,port norafort,tx,73987,-42.37756630678881,-140.07966829139048,louvenia,twila,54286052882337450010,both
wellington,tania,13718845714212245177,6535 rossie cape,apt 406,north hazle,il,71955,-41.63709738437987,151.53234953318872,wellington,tania,13718845714212245177,both
kamren,rhea,25376115638677565385,379 hickle camp,suite 245,port jeromy,hi,86979,-37.564171375312924,-51.2915292074689,kamren,rhea,25376115638677565385,both
lavada,lupe,14855436163755273300,,,,,,,,,,,left_only
monserrat,ryder,,573 earnest prairie,apt 468,katelynhaven,sd,15929,79.64795151160246,170.39508502386792,monserrat,ryder,54656713645442867829,both
prudence,hermina,17226075716816197479,39023 mayer course,apt 749,donnellyhaven,id,29282,75.97136221231915,-154.5027148725732,prudence,hermina,17226075716816197479,both
violet,camren,44784941826932498825,941 lera hill,apt 319,south jaycee,ks,33460,,,,,,left_only
arnaldo,marco,17549730591858394133,4949 rath key,apt 556,leslieberg,vt,72756,-49.82248716572282,72.99511483043034,arnaldo,marco,17549730591858394133,both
jamison,cruz,66755253235130113553,4190 brionna fields,suite 697,dooleyside,il,58856,-1.9272942472235428,72.21430089582532,jamison,cruz,66755253235130113553,both
steve,fausto,,,,,,,,,,,,left_only
fatima,floyd,14767685304580710483,193 koch street,apt 230,north jeffryshire,va,49137,72.04048792879229,-44.81521242295395,fatima,floyd,14767685304580710483,both
raegan,marjorie,16242123284418218851,81426 hartmann ramp,apt 112,south marley,vt,20424,-43.6980511819742,59.27754168583101,raegan,marjorie,16242123284418218851,both
florine,sheila,43841682163818475474,95022 hartmann coves,suite 427,leschstad,ak,29563,87.18185786832109,-91.74706850354362,florine,sheila,43841682163818475474,both
christopher,rusty,,9241 katelyn walks,suite 470,port betty,nj,30608,-40.37256530422697,-92.92430318742294,christopher,rusty,50754143532076145306,both
sabryna,george,15412750423358644086,,,,,,,,,,,left_only
kirsten,elenor,39826184572894222151,38273 stark manor,suite 857,abbiehaven,vt,20570,79.13514320463855,7.922638187178677,kirsten,elenor,39826184572894222151,both
chauncey,adrien,14328354256284894114,85035 heaney glen,apt 435,north chesley,me,39309,,,,,,left_only
freddy,heloise,53887793191788485453,143 tracey lodge,suite 582,rolfsontown,nh,26684,6.047497333864783,0.9270890608212312,freddy,heloise,53887793191788485453,both
logan,brionna,,4987 della throughway,suite 343,averyton,tn,93281,85.7054515194911,88.81795350706642,logan,brionna,20484166437519750715,both
dereck,cindy,89421504148711475802,55080 beier plain,suite 114,erinstad,ks,74946,-25.66302203517249,96.73639551933377,dereck,cindy,89421504148711475802,both
lulu,glen,58903280102772465415,,,,,,,,,,,left_only
holden,cindy,87228251554751390211,286 dell locks,apt 481,cassieton,ky,25938,-88.30521243658322,57.02422350464471,holden,cindy,87228251554751390211,both
damian,jaquan,,206 abshire points,suite 750,new deron,ct,21082,-58.41461313272958,48.643632890063,damian,jaquan,08574130802645633255,both
jarret,lolita,80947924853802773337,8800 sawayn port,apt 209,lake daren,ga,38376,-42.75907060558281,86.96646160991344,jarret,lolita,80947924853802773337,both
donny,ophelia,89516947186678021342,280 grimes islands,suite 818,brenttown,me,96699,-33.558608696660336,-154.0575858449998,donny,ophelia,89516947186678021342,both
maye,edwin,22287588043488697879,,,,,,,,,,,left_only
filomena,willard,36785387226974076477,434 efrain shoals,suite 288,south sabryna,ny,45930,,,,,,left_only
lauretta,zechariah,,4696 dakota crossing,apt 978,south alfonzo,ne,23804,7.596971776952245,-133.35638744793062,lauretta,zechariah,60778867565596974385,both
edmund,hester,86597381767523860178,51224 rempel trace,apt 538,elnoraview,md,64508,-78.62137640110804,-35.35953180352189,edmund,hester,86597381767523860178,both
wilma,lamont,51329872375832417541,77157 ewald stravenue,suite 323,mathiasfurt,ne,93781,-23.361428477311676,-71.25902472039617,wilma,lamont,51329872375832417541,both
johnnie,alicia,68255722874426448602,739 orion crossing,suite 775,jaclynview,ky,29033,77.00357557980468,92.63838401070836,johnnie,alicia,68255722874426448602,both
xander,neoma,,,,,,,,,,,,left_only
ardella,jimmy,78222140423094951110,499 sabrina ridges,apt 320,leonorashire,nd,56724,-58.99760709581916,-177.31692681491825,ardella,jimmy,78222140423094951110,both
alberta,darion,17727752662912737388,28155 ole underpass,apt 373,krishaven,tn,33167,-87.39382947644775,-112.18062564626221,alberta,darion,17727752662912737388,both
jane,sterling,65287586474857514138,44078 abdul mount,apt 996,strosinside,ne,63063,-47.782399707319826,126.40234434644219,jane,sterling,65287586474857514138,both
dasia,else,,59466 mohr light,apt 723,emanuelview,ks,32373,12.30866884577246,-177.02461392060553,dasia,else,57539062935533111142,both
carson,brendon,23514243888462465752,810 gutmann park,suite 687,murphytown,md,97356,,,,,,left_only
marshall,shawna,88913181517750245534,,,,,,,,,,,left_only
keven,oceane,75742325114342638167,94235 zemlak lane,apt 821,katelynfurt,va,52302,-23.009021278049246,-45.30156394082377,keven,oceane,75742325114342638167,both
bryon,helene,28554445887698548107,35952 elmo mall,suite 164,caesarport,tn,71448,73.20666868210799,60.24888104647624,bryon,helene,28554445887698548107,both
chyna,michaela,,214 keebler inlet,suite 367,arjunberg,wi,64755,-73.01302090943204,-115.62074485367,chyna,michaela,97935355487687442622,both
adrian,dovie,37570448211317883435,543 wyman hill,suite 600,lake joshuahbury,ne,30700,83.08012891158077,12.986187400813236,adrian,dovie,37570448211317883435,both
lester,seth,22572344054705233851,,,,,,,,,,,left_only
peyton,muriel,55165276246857011717,40930 jocelyn drives,apt 134,lake elisefurt,vt,12356,-50.19495586826513,9.117067215852046,peyton,muriel,55165276246857011717,both
mckenzie,jayne,,37481 rodrick isle,apt 827,port sydneychester,ok,14973,70.37518770850076,-43.356584342965306,mckenzie,jayne,37842404978250750217,both
lance,braulio,00976104972547789125,55912 alfonzo station,suite 190,meredithville,mn,93441,-44.47045737163783,16.34999803404,lance,braulio,00976104972547789125,both
lafayette,pedro,91684695181611532417,29821 stracke trail,suite 672,north tyrese,or,96358,-18.11875996699446,-27.70118323183604,lafayette,pedro,91684695181611532417,both
bernardo,penelope,68284945001639086634,,,,,,,,,,,left_only
lauren,judd,36488391159216405834,6902 miller lake,apt 108,dibbertport,oh,74290,,,,,,left_only
kale,taurean,,926 towne brook,suite 387,binsstad,nv,26093,-64.27078660253693,-118.48459808922338,kale,taurean,50818371684838063078,both
rigoberto,ward,10262526306624659543,28138 camren islands,apt 536,roelhaven,nj,48181,-57.05243511546851,-61.647249449296325,rigoberto,ward,10262526306624659543,both
stephen,jan,69038914751140126734,6159 sydni flat,suite 566,blockhaven,ga,41275,47.92862203682779,-166.95623771137758,stephen,jan,69038914751140126734,both
lilla,lavern,38856172396858302819,383 moses springs,suite 887,east roxanneview,mo,81131,7.6430536119247705,-95.42640528251296,lilla,lavern,38856172396858302819,both
marisa,gertrude,,,,,,,,,,,,left_only
jaquan,rupert,24622234176846437916,91085 kris plains,suite 930,west kaleighmouth,ky,13933,52.46847703463973,-95.38259661545952,jaquan,rupert,24622234176846437916,both
gino,jessie,71183556865077263047,9877 maxime summit,apt 357,misaelchester,ky,20712,62.41324246475426,-59.71961448586421,gino,jessie,71183556865077263047,both
tessie,eleonore,62861414471271451338,4958 carroll forge,apt 674,new darioville,la,24038,-43.41645387402809,12.229706368451389,tessie,eleonore,62861414471271451338,both
izaiah,maya,,79615 romaguera ports,apt 499,south jo,ms,22454,-76.71190167761236,-26.62192941405749,izaiah,maya,17416551547516856252,both
myrtie,vidal,78252385511824852862,,,,,,,,,,,left_only
juwan,johnson,56286625527257298168,29286 wunsch square,suite 295,port dorthy,in,33715,1.5232861217380673,140.4724776200619,juwan,johnson,56286625527257298168,both
bridgette,edmund,85522584887482648445,6860 tillman avenue,suite 597,east jany,de,64858,-82.8955481116345,52.12026462208809,bridgette,edmund,85522584887482648445,both
beaulah,janae,,60112 price unions,suite 907,lake rashawnbury,ks,62411,4.443495589763359,-70.87044576448858,beaulah,janae,90680343113098261720,both
paxton,zaria,05916496241535750454,18323 telly green,suite 278,south evertchester,ky,81734,-9.671619571964357,-80.38581859967768,paxton,zaria,05916496241535750454,both
tatyana,anika,75733238523764971362,27697 rohan coves,suite 868,adeliafurt,in,40990,,,,,,left_only
amelia,jeramy,09713575331677150777,,,,,,,,,,,left_only
armand,maverick,71615952421786301355,22916 jacobs forks,suite 242,gwendolynview,va,14765,-7.628059578680961,-74.06111506293695,armand,maverick,71615952421786301355,both
keven,pasquale,,99790 roxanne shore,apt 263,lake cordiaton,mi,75459,-12.081852833875445,150.97129262062242,keven,pasquale,27621477673267680822,both
mandy,cali,15812684239586856232,1196 boyer road,suite 422,east citlalli,ma,47376,39.91308306914385,112.29492242609331,mandy,cali,15812684239586856232,both
syble,joanny,72346555113196310747,60005 boyd spring,suite 204,handburgh,mt,68229,52.127063692629775,-159.57827391292176,syble,joanny,72346555113196310747,both
candice,macie,98667557275836748133,,,,,,,,,,,left_only
rebeka,adam,,610 stiedemann harbors,suite 121,port geoffrey,mo,53580,28.843445327525984,126.39229560855222,rebeka,adam,55243287120693818627,both
lonie,oceane,82980524448512287047,521 marina stream,suite 839,conntown,tx,31258,73.81355393177131,-101.44905371539815,lonie,oceane,82980524448512287047,both
myah,gideon,19343762253975607406,307 kshlerin curve,apt 941,west bert,ok,11512,,,,,,left_only
brionna,marcelle,44774497488614442132,898 jacobs cove,suite 814,twilamouth,ut,62124,-14.74089980264867,76.26973150497867,brionna,marcelle,44774497488614442132,both
judah,cheyanne,41255716117846597921,39065 dickinson forge,suite 227,east belle,wy,91731,28.365488300364362,-107.60011345476461,judah,cheyanne,41255716117846597921,both
madelynn,celia,,,,,,,,,,,,left_only
gerda,gwendolyn,24773416632313648323,5881 dock haven,suite 145,port laceyville,ne,33962,61.61586954735918,-154.16441452089714,gerda,gwendolyn,24773416632313648323,both
jonas,clare,06882481303582451571,8088 percival turnpike,apt 171,rahsaanburgh,wv,33291,-36.25031627318377,83.347850433568,jonas,clare,06882481303582451571,both
nia,kailyn,68458978477872565154,2470 kuvalis heights,suite 249,west leonie,ar,15726,-12.93224961420367,134.26141654722738,nia,kailyn,68458978477872565154,both
stella,liliana,,8234 glover greens,apt 514,port filibertotown,al,80955,66.85740330636023,-91.6050788746983,stella,liliana,20157186245892996997,both
cydney,garfield,76762187451983822785,,,,,,,,,,,left_only
eugenia,michele,29691141269377238396,5860 jaiden valleys,apt 533,garthshire,ok,62328,26.60952776009205,-104.37504978472907,eugenia,michele,29691141269377238396,both
quinten,naomi,47812333222148599228,4261 sean unions,suite 675,josephineborough,ks,69469,-87.46986630144782,-58.32920087963667,quinten,naomi,47812333222148599228,both
arely,anabel,53181983014565772502,378 winnifred plaza,suite 537,east savanah,id,33387,,,,,,left_only
shanelle,cecil,,57273 lehner junctions,suite 505,east hertaburgh,ne,30540,9.271564269786623,-16.628080374314777,shanelle,cecil,44094449371145068057,both
maryam,gina,30565983628895748561,67790 fritsch lake,apt 616,rhiannaview,ca,12069,-81.68312402620872,44.59127377966206,maryam,gina,30565983628895748561,both
israel,wilmer,96225968121270278210,,,,,,,,,,,left_only
jasper,hudson,58683363236768262275,3183 prosacco mission,suite 415,winonamouth,wy,43356,9.481454492409256,-57.88110486453675,jasper,hudson,58683363236768262275,both
omer,brendon,,96296 zander springs,apt 837,marilynehaven,sc,93102,-18.23000020016724,-69.86093406180673,omer,brendon,69485546211408133611,both
giovanny,randal,57011511812743293612,15149 gardner glen,suite 547,west belle,ut,71902,-0.981518053199224,133.10830444590266,giovanny,randal,57011511812743293612,both
danika,ursula,92442103162360573596,6463 carleton street,suite 504,darienburgh,ca,87272,35.60079980883651,-61.59529660279465,danika,ursula,92442103162360573596,both
furman,marcella,32549857037031498678,,,,,,,,,,,left_only
keegan,alan,60445818740480267711,616 weber freeway,suite 375,south walter,fl,56733,,,,,,left_only
jewel,neoma,,37962 abbott knolls,apt 647,austenton,wa,43764,-47.423562373717004,-13.14057893361587,jewel,neoma,81783916419671619640,both
arjun,ricardo,24694082858477652951,4641 andre loop,apt 155,south kayla,id,34962,-50.66376598082418,-3.1589726968674654,arjun,ricardo,24694082858477652951,both
fay,conrad,66469272562746465383,19093 ruecker garden,apt 907,guyville,ok,52312,85.35214630824711,-39.841994738170456,fay,conrad,66469272562746465383,both
adolphus,jordan,15364728335763484793,697 ruecker place,suite 523,robertton,sd,96485,74.17226524070259,112.88363729834794,adolphus,jordan,15364728335763484793,both
tyra,korey,,,,,,,,,,,,left_only
bret,jacky,89449758792467547397,67637 carol forges,suite 354,south coopermouth,me,88766,-30.244030473193924,-115.0558787262594,bret,jacky,89449758792467547397,both
frederick,tiffany,14598612297352635745,2035 napoleon manors,suite 235,jakubowskistad,ct,80635,24.3083283020501,-26.632332632453938,frederick,tiffany,14598612297352635745,both
adaline,joel,30215821117363741229,741 pascale corner,suite 811,west mandy,nd,29867,84.19853872502821,75.58946609583296,adaline,joel,30215821117363741229,both
orland,emmanuel,,8597 dane camp,suite 741,lake alvera,ma,67784,30.275620919675077,72.40179681071047,orland,emmanuel,85183721862684031267,both
kieran,donna,76829885348086153078,,,,,,,,,,,left_only
lukas,cheyanne,55521422286412011356,6716 tromp unions,suite 120,lake rebecca,mt,72472,,,,,,left_only
roslyn,agnes,33087689874474058383,8182 henry vista,apt 400,botsfordland,nh,50642,31.940486426753267,-83.65274940989784,roslyn,agnes,33087689874474058383,both
giles,lavina,78297412256063593812,1000 harvey knoll,suite 534,lake darien,wa,71543,30.802896512276405,28.76898443052903,giles,lavina,78297412256063593812,both
madyson,domenica,,36827 mack forge,apt 584,skylaport,nh,75375,54.74601932563772,134.04720406839743,madyson,domenica,54761918234655206618,both
randal,alda,54448532605357223255,36836 major hills,suite 532,mcclurefort,ms,59807,15.218556264096534,165.26906097701095,randal,alda,54448532605357223255,both
americo,rolando,11137109887191819573,,,,,,,,,,,left_only
ava,enos,54523394724761763144,6559 hickle ramp,suite 604,zoiemouth,sc,91854,-60.196383204590546,-170.76570984609452,ava,enos,54523394724761763144,both
kattie,humberto,,301 oleta tunnel,suite 989,eltastad,nv,11484,-52.45049044640599,-102.51184769730094,kattie,humberto,88787778784102268081,both
fernando,marcelino,11162466364663543237,80147 yundt ports,suite 638,walterland,wv,29176,58.50226845032688,-179.3937853234388,fernando,marcelino,11162466364663543237,both
sigmund,virginia,57566373176322807201,9159 satterfield summit,suite 895,north raquelshire,la,11262,,,,,,left_only
caden,jaeden,23452136544681454561,4277 katrine loaf,suite 483,west nya,nh,17788,14.515520216101478,-16.580125540678125,caden,jaeden,23452136544681454561,both
stone,chyna,34229947583859742056,,,,,,,,,,,left_only
sibyl,paula,,626 kathryne key,apt 652,new myrnafurt,ny,42956,-15.21874733809922,0.5733089332508996,sibyl,paula,93682031422462685263,both
henry,gerhard,14438772070217356464,888 hahn centers,suite 761,lake luther,wv,18717,-77.96463583333181,94.5791587358517,henry,gerhard,14438772070217356464,both
kari,reyes,13475876189368411372,7053 howell prairie,apt 111,new jessicaport,oh,57484,-41.29438497706135,12.58334106190162,kari,reyes,13475876189368411372,both
genevieve,lou,37566766337579682846,496 carter point,suite 506,arielleville,ne,92306,85.35847878418991,11.825108631048295,genevieve,lou,37566766337579682846,both
tiffany,abelardo,69630261162253156323,95925 cathrine knoll,suite 404,blairhaven,or,75430,,,,,,left_only
cielo,dolly,,,,,,,,,,,,left_only
linnea,isabella,41810574203461153618,4429 rhoda club,suite 259,jailynchester,mi,47654,54.437609846814155,36.00753758484831,linnea,isabella,41810574203461153618,both
franco,cletus,41289819801594392292,296 vandervort hill,apt 698,east elmo,mo,41162,-89.98821954045806,-101.98699218204163,franco,cletus,41289819801594392292,both
destini,ardith,33243840121372744134,80225 kyla way,apt 553,aftonberg,md,28109,-43.53600845584145,146.75586689041114,destini,ardith,33243840121372744134,both
emanuel,julia,,452 ebert streets,apt 421,gabriellabury,mo,69385,42.11609164664688,-34.37784386589624,emanuel,julia,67791518038134181475,both
cyrus,jarrett,11117777342316128161,,,,,,,,,,,left_only
rebecca,immanuel,16611994137259861532,21500 rolfson roads,apt 986,south arjunside,il,13232,-55.472119832457814,88.66872841483763,rebecca,immanuel,16611994137259861532,both
kyler,kristin,12073627794663070726,539 cloyd forges,suite 275,new litzy,sc,79084,-58.49313648606729,-93.79686787876562,kyler,kristin,12073627794663070726,both
kaci,irving,,1396 ladarius ridge,apt 987,parisianview,ga,49683,3.577907288593181,101.07671258560964,kaci,irving,36525335502773233498,both
devan,savanah,19456884673145123093,41818 terry ridges,apt 886,north coleman,al,72827,-14.516603782238363,-39.236499158688275,devan,savanah,19456884673145123093,both
eulah,priscilla,16390988139896791186,,,,,,,,,,,left_only
henry,jeanne,27396908347847542371,938 moen mountains,suite 822,port cleora,ms,41900,-87.90052488673854,114.03765092904314,henry,jeanne,27396908347847542371,both
mona,curt,84688995226804648653,51562 purdy groves,suite 809,chaimville,wv,93573,,,,,,left_only
lyda,elias,,2550 hadley manors,apt 601,east madysonmouth,sd,60708,-60.78157918461621,53.10153163538942,lyda,elias,16633140161108244724,both
heaven,giles,63732956516754750453,165 koch groves,suite 194,adamston,mi,77252,62.1564498872265,-6.7973135204489665,heaven,giles,63732956516754750453,both
kitty,marcellus,68123129258576653102,3219 rachelle forest,suite 574,trudiestad,ms,78627,-50.935738788107386,7.287576934561372,kitty,marcellus,68123129258576653102,both
charlene,yadira,23722289110381789506,,,,,,,,,,,left_only
